username,repo_name,stars,repo_url
CyC2018,CS-Notes,165000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,103000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,51300,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,46600,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,40800,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,39000,https://github.com/youngyangyang04/leetcode-master
Light-City,CPlusPlusThings,30700,https://github.com/Light-City/CPlusPlusThings
carbon-language,carbon-lang,30500,https://github.com/carbon-language/carbon-lang
huihut,interview,29100,https://github.com/huihut/interview
yuzu-emu,yuzu,28300,https://github.com/yuzu-emu/yuzu
microsoft,calculator,27200,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,27200,https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,24500,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,22200,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,20900,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,20200,https://github.com/ethereum/solidity
dragonflydb,dragonfly,19600,https://github.com/dragonflydb/dragonfly
microsoft,vcpkg,18800,https://github.com/microsoft/vcpkg
gabime,spdlog,18600,https://github.com/gabime/spdlog
ssloy,tinyrenderer,17000,https://github.com/ssloy/tinyrenderer
