username,repo_name,stars,repo_url
Genymobile,scrcpy,84300,https://github.com/Genymobile/scrcpy
neovim,neovim,66300,https://github.com/neovim/neovim
obsproject,obs-studio,47900,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,46600,https://github.com/fffaraz/awesome-cpp
git,git,46400,https://github.com/git/git
FFmpeg,FFmpeg,36400,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,35600,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,30400,https://github.com/vim/vim
curl,curl,30300,https://github.com/curl/curl
huihut,interview,29100,https://github.com/huihut/interview
ggreer,the_silver_searcher,24900,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,23200,https://github.com/pbatard/rufus
mpv-player,mpv,22500,https://github.com/mpv-player/mpv
ossrs,srs,21700,https://github.com/ossrs/srs
google,flatbuffers,20500,https://github.com/google/flatbuffers
ruby,ruby,20400,https://github.com/ruby/ruby
kovidgoyal,kitty,18800,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,18800,https://github.com/microsoft/vcpkg
oracle,graal,18600,https://github.com/oracle/graal
radareorg,radare2,18100,https://github.com/radareorg/radare2
